U-238(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.218750 10.1294
0.228125 10.1097
0.237500 10.0911
0.246875 10.0735
0.256250 10.0569
0.265625 10.0411
0.275000 10.0261
0.284375 10.0118
0.293750 9.99808
0.303125 9.98502
0.312500 9.97250
0.321875 9.96050
0.331250 9.94898
0.340625 9.93789
0.350000 9.92722
0.359375 9.91694
0.368750 9.90701
0.378125 9.89743
0.387500 9.88816
0.396875 9.87919
0.406250 9.87053
0.425000 9.85395
0.443750 9.83829
0.462500 9.82348
0.500000 9.79612
0.531250 9.77526
0.562500 9.75586
0.625000 9.72080
0.687500 9.68974
0.750000 9.66181
0.812500 9.63639
0.875000 9.61305
0.937500 9.59139
1.00000 9.57111
1.06250 9.55203
1.12500 9.53396
1.25000 9.50034
1.37500 9.46939
1.50000 9.44049
1.62500 9.41322
1.75000 9.38726
1.87500 9.36234
2.00000 9.33826
2.13104 9.31380
2.26209 9.29004
2.39313 9.26682
2.52418 9.24409
2.65522 9.22181
2.78626 9.19997
2.91731 9.17857
3.04835 9.15766
3.17004 9.13873
3.29172 9.12034
3.41340 9.10248
3.53509 9.08547
3.65677 9.06944
3.77845 9.05467
3.90014 9.04159
3.96098 9.03589
4.02182 9.03095
4.09202 9.02657
4.16222 9.02439
4.19733 9.02482
4.23243 9.02749
4.24998 9.03037
4.26753 9.03526
4.28508 9.04419
4.29385 9.05164
4.30263 9.06269
4.30731 9.07076
4.31199 9.08088
4.31667 9.09359
4.32135 9.10953
4.32603 9.12941
4.33071 9.15400
4.33539 9.18409
4.34007 9.22042
4.34446 9.26072
4.34885 9.30737
4.35323 9.36047
4.35762 9.41974
4.36201 9.48457
4.36640 9.55384
4.37517 9.69920
4.38219 9.81234
4.38570 9.86428
4.38921 9.91131
4.39272 9.95217
4.39624 9.98563
4.39975 10.0107
4.40326 10.0266
4.40748 10.0330
4.41029 10.0294
4.41311 10.0196
4.41592 10.0038
4.41873 9.98221
4.42185 9.95215
4.42498 9.91632
4.42810 9.87554
4.43122 9.83072
4.43604 9.75568
4.44087 9.67672
4.45052 9.51976
4.45620 9.43463
4.46187 9.35833
4.46471 9.32395
4.46755 9.29222
4.47039 9.26315
4.47323 9.23668
4.47663 9.20826
4.48004 9.18328
4.48344 9.16150
4.48685 9.14264
4.49026 9.12641
4.49366 9.11252
4.50047 9.09059
4.50501 9.07949
4.50955 9.07059
4.51608 9.06077
4.52261 9.05356
4.53567 9.04415
4.54872 9.03865
4.56178 9.03529
4.58789 9.03203
4.61400 9.03131
4.66623 9.03404
4.71845 9.04057
4.77067 9.04994
4.82290 9.06199
4.87512 9.07682
4.92734 9.09511
4.96367 9.11008
5.00000 9.12708
5.05844 9.15908
5.11687 9.19763
5.17531 9.24403
5.20453 9.27062
5.23375 9.29977
5.26296 9.33170
5.29218 9.36669
5.32140 9.40498
5.35062 9.44683
5.37984 9.49266
5.40905 9.54308
5.43827 9.59862
5.46749 9.65974
5.50320 9.74289
5.53891 9.83656
5.57462 9.94229
5.61033 10.0619
5.64604 10.1976
5.68176 10.3518
5.71747 10.5279
5.73532 10.6252
5.75318 10.7293
5.78564 10.9385
5.81811 11.1766
5.83434 11.3080
5.85057 11.4487
5.86680 11.5994
5.88303 11.7610
5.89927 11.9345
5.91550 12.1210
5.93173 12.3217
5.94796 12.5379
5.96420 12.7711
5.98043 13.0230
5.99666 13.2957
6.01289 13.5915
6.03075 13.9467
6.04860 14.3368
6.06646 14.7663
6.08431 15.2403
6.10217 15.7647
6.12003 16.3465
6.13788 16.9941
6.15574 17.7173
6.17359 18.5279
6.19145 19.4399
6.20037 19.9391
6.20930 20.4704
6.21823 21.0363
6.22716 21.6399
6.23609 22.2846
6.24501 22.9739
6.25394 23.7121
6.26287 24.5035
6.27180 25.3535
6.28072 26.2678
6.28965 27.2528
6.29858 28.3159
6.31157 30.0192
6.31806 30.9489
6.32455 31.9363
6.33348 33.3971
6.34241 34.9905
6.35134 36.7330
6.36026 38.6433
6.36919 40.7441
6.37812 43.0612
6.38705 45.6252
6.39597 48.4722
6.40490 51.6463
6.41383 55.1996
6.41829 57.1378
6.42276 59.1958
6.42722 61.3837
6.43168 63.7125
6.43615 66.1959
6.44061 68.8479
6.44508 71.6844
6.44954 74.7229
6.45400 77.9856
6.45847 81.4954
6.46293 85.2792
6.46739 89.3673
6.47105 92.9656
6.47470 96.8142
6.47653 98.8418
6.47835 100.941
6.48018 103.118
6.48200 105.375
6.48383 107.719
6.48566 110.151
6.48748 112.680
6.48931 115.309
6.49114 118.046
6.49296 120.897
6.49479 123.868
6.49661 126.969
6.49803 129.476
6.49945 132.070
