U-235(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.95959 11.9445
1.96136 12.4017
1.96305 12.8680
1.96474 13.3655
1.96643 13.8962
1.96812 14.4619
1.96981 15.0654
1.97150 15.7082
1.97319 16.3934
1.97488 17.1221
1.97658 17.8975
1.97827 18.7205
1.97996 19.5938
1.98165 20.5181
1.98334 21.4958
1.98503 22.5266
1.98672 23.6125
1.98841 24.7521
1.99131 26.8315
1.99420 29.0632
1.99710 31.4348
2.00000 33.9270
2.00500 38.4292
2.01000 43.0204
2.01516 47.5908
2.01774 49.7162
2.02032 51.6800
2.02290 53.4438
2.02548 54.9692
2.02806 56.2224
2.03064 57.1746
2.03223 57.6016
2.03382 57.9022
2.03541 58.0736
2.03699 58.1143
2.03978 57.8694
2.04257 57.2286
2.04536 56.2098
2.04815 54.8411
2.05134 52.8953
2.05453 50.6061
2.05821 47.6257
2.06189 44.4004
2.06926 37.6611
2.07255 34.6980
2.07583 31.8397
2.07912 29.1271
2.08240 26.5899
2.08569 24.2445
2.08733 23.1467
2.08897 22.1002
2.09062 21.1037
2.09226 20.1576
2.09390 19.2601
2.09554 18.4110
2.09719 17.6079
2.09883 16.8501
2.10047 16.1351
2.10211 15.4618
2.10376 14.8275
2.10540 14.2310
2.10704 13.6697
2.10868 13.1424
2.11033 12.6463
2.11197 12.1803
2.11361 11.7421
2.11525 11.3303
2.11690 10.9428
2.11854 10.5785
2.12182 9.91268
2.12511 9.32170
2.12839 8.79582
2.13168 8.32652
2.13496 7.90654
2.13735 7.62824
2.14064 7.27864
2.14392 6.96294
2.14721 6.67694
2.15049 6.41704
2.15378 6.18017
2.15706 5.96367
2.16035 5.76524
2.16363 5.58291
2.16692 5.41496
2.17020 5.25990
2.17349 5.11643
2.17677 4.98340
2.18334 4.74477
2.18991 4.53733
2.19558 4.37917
2.20126 4.23757
2.20693 4.11024
2.21261 3.99529
2.21828 3.89113
2.22395 3.79643
2.23530 3.63101
2.24665 3.49189
2.25800 3.37378
2.26935 3.27274
2.28069 3.18571
2.29025 3.12148
2.30220 3.05094
2.31414 2.98954
2.32609 2.93586
2.33803 2.88883
2.36192 2.81146
2.38581 2.75233
2.40970 2.70805
2.43359 2.67649
2.45749 2.65648
2.48138 2.64765
2.51004 2.65245
2.53871 2.67642
2.55305 2.69701
2.56738 2.72448
2.58172 2.76008
2.59605 2.80549
2.60809 2.85290
2.62013 2.91060
2.63217 2.98069
2.64421 3.06562
2.65625 3.16815
2.66829 3.29109
2.68034 3.43673
2.68636 3.51839
2.69238 3.60582
2.69734 3.68206
2.70231 3.76160
2.70728 3.84390
2.71225 3.92825
2.71691 4.00844
2.72157 4.08879
2.72623 4.16830
2.73088 4.24588
2.73554 4.32036
2.74020 4.39048
2.74486 4.45504
2.74952 4.51287
2.75634 4.58328
2.76317 4.63432
2.76999 4.66432
2.77681 4.67280
2.78364 4.66052
2.79046 4.62945
2.79728 4.58245
2.80411 4.52310
2.81093 4.45526
2.81775 4.38281
2.82458 4.30936
2.83140 4.23803
2.83756 4.17760
2.84372 4.12248
