U-238(n,g) ENDFB-8.0
Energy(eV) XS(b)
6.89786 72.4500
6.90215 69.4417
6.90645 66.6234
6.91075 63.9799
6.91504 61.4958
6.91934 59.1581
6.92364 56.9545
6.92793 54.8756
6.93223 52.9114
6.93652 51.0533
6.94512 47.6248
6.95371 44.5373
6.95896 42.7983
6.96421 41.1612
6.96946 39.6178
6.97471 38.1609
6.97997 36.7840
6.98522 35.4814
6.99572 33.0780
7.00622 30.9133
7.01672 28.9566
7.02723 27.1818
7.03773 25.5668
7.04823 24.0926
7.05873 22.7434
7.06923 21.5053
7.07974 20.3663
7.09024 19.3160
7.10074 18.3455
7.11124 17.4469
7.12175 16.6132
7.13320 15.7706
7.14466 14.9908
7.15516 14.3259
7.16566 13.7046
7.17617 13.1230
7.18667 12.5777
7.19717 12.0657
7.20767 11.5845
7.21818 11.1315
7.22868 10.7047
7.23918 10.3020
7.24968 9.92176
7.26018 9.56226
7.27069 9.22205
7.29169 8.59417
7.31269 8.02863
7.33370 7.51742
7.35470 7.05386
7.37571 6.63216
7.39671 6.24749
7.41772 5.89563
7.43872 5.57303
7.45973 5.27660
7.48073 5.00370
7.49982 4.77404
7.51892 4.56037
7.53801 4.36146
7.55711 4.17668
7.57620 4.00621
7.59530 3.85099
7.61439 3.71151
7.63349 3.58557
7.65640 3.44334
7.66967 3.36023
7.67388 3.33323
7.68092 3.28750
7.70180 3.14719
7.72269 3.00611
7.74528 2.86281
7.76787 2.73452
7.79047 2.62005
7.81306 2.51587
7.83565 2.41924
7.85824 2.32873
7.88084 2.24357
7.90343 2.16325
7.94861 2.01564
7.99380 1.88335
8.03898 1.76429
8.08417 1.65678
8.12032 1.57810
8.15646 1.50524
8.19261 1.43766
8.22876 1.37487
8.25813 1.32706
8.28750 1.28191
8.34624 1.19885
8.40498 1.12434
8.46372 1.05727
8.52246 0.996778
8.58120 0.942135
8.63994 0.892346
8.69868 0.846892
8.74838 0.811526
8.79809 0.778726
8.84779 0.748258
8.89749 0.719915
8.94720 0.693513
8.99690 0.668890
9.04660 0.645900
9.09631 0.624412
9.14601 0.604309
9.19571 0.585491
9.29512 0.551346
9.39453 0.521370
9.49393 0.495117
9.54815 0.482267
9.60238 0.470435
9.65660 0.459643
9.71082 0.449959
9.76504 0.441502
9.81926 0.434593
9.87348 0.429935
9.90060 0.428811
9.92771 0.428834
9.94578 0.429707
9.96385 0.431507
9.98193 0.434558
10.0000 0.439364
10.0143 0.444945
10.0285 0.452875
10.0357 0.458094
10.0428 0.464445
10.0500 0.472285
10.0571 0.482056
10.0642 0.494427
10.0714 0.510229
10.0749 0.519787
10.0785 0.530674
10.0821 0.543095
10.0856 0.557242
10.0892 0.573456
10.0928 0.591996
10.0963 0.613192
10.0999 0.637338
10.1035 0.664967
10.1070 0.696358
10.1106 0.732153
10.1142 0.772648
10.1171 0.809537
10.1200 0.850240
10.1229 0.895055
10.1258 0.944278
10.1287 0.998207
10.1316 1.05713
10.1345 1.12134
10.1373 1.19083
10.1402 1.26633
10.1431 1.34783
10.1460 1.43550
10.1489 1.52948
10.1518 1.62984
10.1547 1.73664
10.1576 1.84982
10.1605 1.96886
10.1634 2.09441
10.1663 2.22582
10.1692 2.36273
10.1721 2.50472
10.1779 2.80176
10.1837 3.11116
10.1926 3.59741
10.1971 3.83706
10.2016 4.06901
10.2065 4.31038
10.2114 4.53117
10.2163 4.72644
10.2212 4.89118
10.2258 5.01460
10.2304 5.10385
10.2350 5.15659
10.2395 5.17295
10.2441 5.15211
10.2487 5.09439
10.2518 5.03500
10.2549 4.95998
10.2590 4.83829
10.2631 4.69309
10.2688 4.45966
10.2744 4.19516
10.2801 3.90767
10.2857 3.60632
10.2970 2.99199
10.3027 2.69393
10.3083 2.40978
10.3124 2.21435
10.3166 2.02986
10.3207 1.85720
10.3248 1.69697
10.3289 1.54942
10.3309 1.48026
10.3330 1.41458
10.3351 1.35172
10.3371 1.29223
10.3392 1.23574
10.3412 1.18219
10.3433 1.13127
10.3453 1.08339
10.3474 1.03799
10.3494 0.995416
10.3515 0.955163
10.3535 0.917519
10.3556 0.882014
10.3576 0.848890
10.3597 0.817719
10.3618 0.788701
10.3638 0.761449
10.3659 0.736126
10.3679 0.712387
10.3700 0.690363
10.3720 0.669842
10.3741 0.650732
10.3782 0.616321
10.3823 0.586564
10.3864 0.560854
10.3905 0.538690
10.3946 0.519476
10.3987 0.502837
10.4028 0.488395
10.4069 0.475850
10.4136 0.458681
10.4203 0.444745
10.4270 0.433243
10.4336 0.423638
10.4403 0.415473
10.4470 0.408453
10.4603 0.396914
10.4737 0.387744
10.4870 0.380207
10.5004 0.373852
